email,goal_id,month,sip_amount,portfolio_planned_value,portfolio_actual_value,nifty ,portfolio_nifty_value
sp@gmail.com,ab12,12/10/2023,14665,621123,,,
sp@gmail.com,ab12,1/10/2024,23311,650386,,,
sp@gmail.com,ab12,2/10/2024,23311,679930,,,
sp@gmail.com,ab12,3/10/2024,23311,709757,,,
sp@gmail.com,ab12,4/10/2024,23311,739870,,,
sp@gmail.com,ab12,5/10/2024,23311,770271,,,
sp@gmail.com,ab12,6/10/2024,23311,800964,,,
sp@gmail.com,ab12,7/10/2024,23311,831951,,,
sp@gmail.com,ab12,8/10/2024,23311,863235,,,
sp@gmail.com,ab12,9/10/2024,23311,894819,,,
sp@gmail.com,ab12,10/10/2024,23311,926705,,,
sp@gmail.com,ab12,11/10/2024,23311,958897,,,
sp@gmail.com,ab12,12/10/2024,23311,991397,,,
sp@gmail.com,ab12,1/10/2025,26882,1027780,,,
sp@gmail.com,ab12,2/10/2025,26882,1064512,,,
sp@gmail.com,ab12,3/10/2025,26882,1101595,,,
sp@gmail.com,ab12,4/10/2025,26882,1139034,,,
sp@gmail.com,ab12,5/10/2025,26882,1176832,,,
sp@gmail.com,ab12,6/10/2025,26882,1214992,,,
sp@gmail.com,ab12,7/10/2025,26882,1253518,,,
sp@gmail.com,ab12,8/10/2025,26882,1292413,,,
sp@gmail.com,ab12,9/10/2025,26882,1331680,,,
sp@gmail.com,ab12,10/10/2025,26882,1371324,,,
sp@gmail.com,ab12,11/10/2025,26882,1411348,,,
sp@gmail.com,ab12,12/10/2025,26882,1451755,,,
sp@gmail.com,ab12,1/10/2026,30852,1496520,,,
sp@gmail.com,ab12,2/10/2026,30852,1541714,,,
sp@gmail.com,ab12,3/10/2026,30852,1587340,,,
sp@gmail.com,ab12,4/10/2026,30852,1633404,,,
sp@gmail.com,ab12,5/10/2026,30852,1679910,,,
sp@gmail.com,ab12,6/10/2026,30852,1726861,,,
sp@gmail.com,ab12,7/10/2026,30852,1774262,,,
sp@gmail.com,ab12,8/10/2026,30852,1822117,,,
sp@gmail.com,ab12,9/10/2026,30852,1870431,,,
sp@gmail.com,ab12,10/10/2026,30852,1919208,,,
sp@gmail.com,ab12,11/10/2026,30852,1968453,,,
sp@gmail.com,ab12,12/10/2026,30852,2018169,,,
sp@gmail.com,ab12,1/10/2027,35265,2072775,,,
sp@gmail.com,ab12,2/10/2027,35265,2127904,,,
sp@gmail.com,ab12,3/10/2027,35265,2183561,,,
sp@gmail.com,ab12,4/10/2027,35265,2239752,,,
sp@gmail.com,ab12,5/10/2027,35265,2296481,,,
sp@gmail.com,ab12,6/10/2027,35265,2353754,,,
sp@gmail.com,ab12,7/10/2027,35265,2411576,,,
sp@gmail.com,ab12,8/10/2027,35265,2469952,,,
sp@gmail.com,ab12,9/10/2027,35265,2528888,,,
sp@gmail.com,ab12,10/10/2027,35265,2588388,,,
sp@gmail.com,ab12,11/10/2027,35265,2648458,,,
sp@gmail.com,ab12,12/10/2027,35265,2709104,,,
